item_id,domain,skill_id,competency,level,question_text,option_a,option_b,option_c,option_d,correct_answer,param_a,param_b,scaffold_step1,scaffold_step2
PROB_DR_011,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số nguyên tố.,0.6,0.4,0.25,0.5,D,1.02,-1.2,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_012,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt có số chấm bằng $1$.,2/6,1/6,3/9,1/8,B,1.15,-1.14,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_013,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm lớn hơn $4$.,1/3,3/6,1/5,2/3,A,0.92,-1.08,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_014,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm nhỏ hơn hoặc bằng $5$.,5/6,5/8,4/6,5/7,A,1.05,-1.02,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_015,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số chẵn.,0.5,0.6,0.25,0.4,A,0.82,-0.96,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_016,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số lẻ.,0.6,0.4,0.5,0.25,C,0.95,-0.9,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_017,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số nguyên tố.,0.6,0.25,0.4,0.5,D,1.08,-0.84,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_018,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt có số chấm bằng $1$.,2/6,1/8,3/9,1/6,D,0.85,-0.78,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_019,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm lớn hơn $5$.,1/8,3/9,1/6,2/6,C,0.98,-0.72,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_020,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm nhỏ hơn hoặc bằng $1$.,1/6,1/8,3/9,2/6,A,1.11,-0.66,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_021,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số chẵn.,0.4,0.25,0.6,0.5,D,0.88,-0.6,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_022,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số lẻ.,0.5,0.25,0.4,0.6,A,1.01,-0.54,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_023,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số nguyên tố.,0.25,0.6,0.5,0.4,C,1.14,-0.48,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_024,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt có số chấm bằng $1$.,1/6,2/6,3/9,1/8,A,0.91,-0.42,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_025,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm lớn hơn $1$.,5/8,4/6,5/7,5/6,D,1.04,-0.36,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_026,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm nhỏ hơn hoặc bằng $2$.,1/3,1/5,2/3,3/6,A,0.81,-1.8,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_027,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số chẵn.,0.5,0.4,0.25,0.6,A,0.94,-1.74,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_028,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số lẻ.,0.4,0.5,0.6,0.25,B,1.07,-1.68,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_029,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số nguyên tố.,0.5,0.25,0.6,0.4,A,0.84,-1.62,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_030,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt có số chấm bằng $1$.,1/6,1/8,2/6,3/9,A,0.97,-1.56,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_031,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.4,0.5,0.25,0.6,B,1.1,-1.5,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_032,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,1/8,2/8,1/10,3/11,A,0.87,-1.44,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_033,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.5,0.25,0.4,0.6,A,1.0,-1.38,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_034,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.25,0.4,0.6,0.5,D,1.13,-1.32,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_035,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,1/10,2/8,3/11,1/8,D,0.9,-1.26,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_036,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.25,0.6,0.5,0.4,C,1.03,-1.2,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_037,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.4,0.25,0.5,0.6,C,0.8,-1.14,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_038,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,2/8,1/10,1/8,3/11,C,0.93,-1.08,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_039,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.6,0.25,0.4,0.5,D,1.06,-1.02,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_040,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.6,0.4,0.25,0.5,D,0.83,-0.96,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_041,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,1/10,2/8,3/11,1/8,D,0.96,-0.9,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_042,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.6,0.5,0.4,0.25,B,1.09,-0.84,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_043,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.25,0.6,0.5,0.4,C,0.86,-0.78,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_044,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,2/8,1/8,3/11,1/10,B,0.99,-0.72,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_045,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.25,0.6,0.5,0.4,C,1.12,-0.66,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_046,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.25,0.5,0.6,0.4,B,0.89,-0.6,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_047,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,2/8,1/8,1/10,3/11,B,1.02,-0.54,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_048,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.4,0.5,0.6,0.25,B,1.15,-0.48,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_049,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.6,0.5,0.4,0.25,B,0.92,-0.42,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_050,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,3/11,1/10,1/8,2/8,C,1.05,-0.36,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_051,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.4,0.5,0.6,0.25,B,0.82,-1.8,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_052,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung hai đồng xu cân đối đồng thời. Tính xác suất để xuất hiện đúng một mặt sấp.,0.6,0.25,0.5,0.4,C,0.95,-1.74,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_053,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung $3$ đồng xu cân đối và đồng chất. Tính xác suất để xuất hiện đúng 3 mặt ngửa.,3/11,2/8,1/10,1/8,D,1.08,-1.68,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_054,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Tung một đồng xu cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt sấp.,0.6,0.25,0.5,0.4,C,0.85,-1.62,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
